Acquiror State,NC_acquire,NC_target,N_acquire,N_target,%NC_acquire,%NC_target,VC_acquire,VC_target
Alabama,283,378,399,494,2.439655172413793,3.2586206896551726,16743.819,18210.713
Alaska,10,79,24,93,0.7142857142857143,5.642857142857143,434.1,1915.4950000000001
Arizona,464,550,693,779,2.0262008733624453,2.4017467248908297,12804.601999999999,18888.561
Arkansas,183,207,251,275,2.6911764705882355,3.0441176470588234,8053.758,2500.099
California,3258,4472,7196,8410,0.8273235144743525,1.1356018283392586,217426.157,255495.869
Colorado,1058,924,1539,1405,2.1995841995841996,1.920997920997921,67749.945,59690.093
Connecticut,1097,813,1558,1274,2.3796095444685466,1.7635574837310195,93564.051,62853.769
D. of Columbia,264,177,312,225,5.5,3.6875,17823.268,74342.216
Delaware,202,217,243,258,4.926829268292683,5.2926829268292686,10687.259,27500.219
Florida,1545,1785,2596,2836,1.4700285442435777,1.698382492863939,49550.775,72328.201
Georgia,1287,992,1790,1495,2.558648111332008,1.9721669980119285,79748.915,62924.346
Hawaii,22,67,51,96,0.7586206896551724,2.310344827586207,1243.0,711.888
Idaho,107,87,160,140,2.018867924528302,1.6415094339622642,3629.488,2352.324
Illinois,2023,1521,2959,2457,2.161324786324786,1.625,105688.893,138582.899
Indiana,378,501,580,703,1.8712871287128714,2.48019801980198,23756.715,14473.682
Iowa,139,229,226,316,1.5977011494252873,2.632183908045977,6212.745,9539.147
Kansas,214,278,291,355,2.779220779220779,3.6103896103896105,2761.2690000000002,9107.273000000001
Kentucky,264,345,366,447,2.588235294117647,3.3823529411764706,13774.119,11613.494
Louisiana,179,474,301,596,1.4672131147540983,3.8852459016393444,11042.842,17003.645
Maine,42,102,57,117,2.8,6.8,353.57500000000005,1648.666
Maryland,515,566,693,744,2.893258426966292,3.1797752808988764,66898.966,19145.678
Massachusetts,1314,1409,2182,2277,1.5138248847926268,1.6232718894009217,81354.545,81453.227
Michigan,717,927,1224,1434,1.4142011834319526,1.8284023668639053,50254.118,41108.591
Minnesota,890,747,1442,1299,1.6123188405797102,1.3532608695652173,24493.782,39570.809
Mississippi,123,182,166,225,2.86046511627907,4.232558139534884,61830.919,5134.098
Missouri,752,626,1066,940,2.394904458598726,1.9936305732484076,47169.557,58544.99
Montana,24,72,36,84,2.0,6.0,677.51,897.953
Nebraska,176,162,234,220,3.0344827586206895,2.793103448275862,15155.404,18150.108
Nevada,182,301,342,461,1.1375,1.88125,4622.881,3310.475
New Hampshire,161,184,230,253,2.3333333333333335,2.6666666666666665,5583.015,7604.8820000000005
New Jersey,1549,1396,2334,2181,1.973248407643312,1.778343949044586,92305.87,78557.52
New Mexico,123,187,146,210,5.3478260869565215,8.130434782608695,2875.257,11275.038
New York,3264,2367,5334,4437,1.5768115942028986,1.1434782608695653,278752.995,236018.607
North Carolina,518,738,819,1039,1.7209302325581395,2.451827242524917,22610.335,19031.904
North Dakota,11,34,21,44,1.1,3.4,18.18,1545.419
Ohio,1501,1223,2293,2015,1.89520202020202,1.5441919191919191,71721.947,97535.442
Oklahoma,374,403,574,603,1.87,2.015,12903.158,24988.328
Oregon,263,372,365,474,2.5784313725490198,3.6470588235294117,11465.617,9912.95
Pennsylvania,1863,1344,2678,2159,2.2858895705521474,1.649079754601227,125154.139,113528.484
Rhode Island,157,159,215,217,2.706896551724138,2.7413793103448274,12606.869,21515.916
South Carolina,183,279,270,366,2.103448275862069,3.206896551724138,7563.089,12196.011
South Dakota,22,56,32,66,2.2,5.6,45.918,359.47
Tennessee,721,596,924,799,3.5517241379310347,2.935960591133005,35936.524,30185.06
Texas,2822,2373,5133,4684,1.2211163998269148,1.0268282128948507,191678.181,122829.987
Utah,288,332,449,493,1.7888198757763976,2.062111801242236,10908.058,13363.641
Vermont,30,58,32,60,15.0,29.0,349.626,616.366
Virginia,807,685,1121,999,2.570063694267516,2.1815286624203822,57509.159,54562.712
Washington,440,593,680,833,1.8333333333333333,2.470833333333333,19638.04,51559.843
West Virginia,48,119,73,144,1.92,4.76,1256.052,5038.207
Wisconsin,450,555,673,778,2.0179372197309418,2.4887892376681613,13271.05,26441.076
Wyoming,20,84,30,94,2.0,8.4,118.858,2113.523
